"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1008","興華公園","24","2","三重區","20240523190937","25.060125","121.483101","重陽路一段120巷/中華路2巷","Sanchong Dist.","Xinghua Park","Ln. 120, Sec. 1, Chongyang Rd./Ln. 2, Zhonghua Rd.","22","1"
"1009","三重國民運動中心","14","1","三重區","20240523190936","25.054391","121.488489","集美街/重新路四段184巷","Sanchong Dist.","San chong Civil Sports Center","Jimei St., Sanchong Dist./Ln. 184, Sec. 4, Chongxin Rd.","11","1"
"1010","捷運三重站(3號出口)","14","0","三重區","20240523190925","25.055883","121.484739","捷運路/捷運路37巷","Sanchong Dist.","MRT Sanchong Sta. (Exit 3)","Jieyun Rd./Ln. 37, Jieyun Rd.","13","1"
"1015","後港公園","10","0","新莊區","20240523190941","25.025358","121.428348","建安街/建安街57巷","Xinzhuang Dist.","Hougang Park","Ln. 57, Jian’an St./Jian’an St.","9","1"
"1016","福營行政中心","20","0","新莊區","20240523190943","25.0241250","121.423870","四維路17號-20號","Xinzhuang Dist.","Fuying Administration Center","No.17, Siwei Rd./No.20, Siwei Rd.","18","1"
"1017","西盛公園","10","0","新莊區","20240523190917","25.017113","121.428048","新莊區西盛街/西盛街201巷","Xinzhuang Dist.","Xisheng Park","Xisheng St./Ln. 201, Xisheng St.","10","1"
"1019","仁愛廣場","22","3","蘆洲區","20240523190745","25.090565","121.471621","民權路139號旁","Luzhou Dist.","Renai Square","No.139, Minquan Rd.","10","1"
"1022","三重商工","10","0","三重區","20240523190925","25.068681","121.480705","中正北路/中正北路276巷","Sanchong Dist.","San-Chung Commercial and Industrial Vocational High School","Ln. 276, Zhongzheng N. Rd.","7","1"
"1023","捷運新莊站(1號出口)","22","0","新莊區","20240523190943","25.036152 ","121.452069 ","中正路/中華路一段(鄰近新莊廟街)","Xinzhuang Dist.","MRT Xinzhuang Sta. (Exit 1)","Zhongzheng Rd./Sec. 1, Zhonghua Rd.","12","1"
"1032","重陽公園","14","2","蘆洲區","20240523190934","25.085688","121.483618","集賢路221巷重陽活動中心(鄰近蘆洲兒童親子分館)","Luzhou Dist.","Chong Yang Park","Ln. 221, Jixian Rd.","12","1"
"1034","中原公園","10","0","蘆洲區","20240523190926","25.083316 ","121.463894 ","長興路22號前通道","Luzhou Dist.","Zhung Yuan Park","No.22, Changxing Rd.","10","1"
"1035","丹鳳派出所","18","0","新莊區","20240523190924","25.027694 ","121.414662 ","雙鳳路77巷丹鳳派出所前","Xinzhuang Dist.","Danfeng Police Substation","Ln. 77, Shuangfeng Rd.(Danfeng Police Station)","18","1"
"1038","新莊棒球場","10","1","新莊區","20240523190932","25.041603 ","121.446053 ","和興街75號/復興路一段23號(鄰近新莊綜合運動場)","Xinzhuang Dist.","Xinzhuang Baseball Court","No.75, Hexing St./No.23, Sec. 1, Fuxing Rd.","9","1"
"1047","新莊文化藝術中心","26","0","新莊區","20240523190935","25.047150 ","121.444453 ","中平路133號前(鄰近新莊文化藝術中心)","Xinzhuang Dist.","Xinzhuang Culture and Arts Center","No.133, Zhongping Rd.","24","1"
"1048","中華中原路口","10","1","新莊區","20240523190925","25.054232","121.451752","中原路/中華路二段","Xinzhuang Dist.","Zhonghua & Zhongyuan Intersection","Zhongyuan Rd./Sec. 2, Zhonghua Rd","9","1"
"1050","福壽公園","20","1","新莊區","20240523190928","25.051829 ","121.457746 ","福壽街130號至140號(對面福壽公園)","Xinzhuang Dist.","Fushou Park","No.130 to No.140, Fushou St.","19","1"
"1065","開元市民活動中心","10","0","三重區","20240523190834","25.066074","121.503557","開元街58號/長元街65巷16弄對面","Sanchong Dist.","Kaiyuan Civic Activity Center","No.58, Kaiyuan St./Aly. 16, Ln. 65, Changyuan St. (opposite)","10","1"
"1067","二重國小","10","1","三重區","20240523190941","25.065976","121.477656","頂崁街164號至188號(對面二重國小)","Sanchong Dist.","Er Chong Elementary School","No.164 to No.188, Dingkan St. (opposite)","9","1"
"1068","二重國中","44","0","三重區","20240523190935","25.065957","121.480465","忠孝路三段75巷1號至忠孝路三段75巷11號(對面人行道)","Sanchong Dist.","Er Chung Junior High School","No.1, Ln. 75, Sec. 3, Zhongxiao Rd. to No.11, Ln. 75, Sec. 3, Zhongxiao Rd. (opposite)","43","1"
"1070","新北市立圖書館三重分館","10","0","三重區","20240523190925","25.066099","121.495529","自強路一段162號至自強路一段二弄4號(對面停車場)","Sanchong Dist.","New Taipei City Library Sanchong Branch","No.162, Sec. 1, Ziqiang Rd. to No.4, Aly. 2, Sec. 1, Ziqiang Rd. (opposite)","10","1"
"1071","三張公園","10","2","三重區","20240523190934","25.070507","121.490935","大智街127號至大智路137號(對面三張公園)","Sanchong Dist.","Sanzhang Park","No.127, Dazhi St. to No.137, Dazhi St. (opposite)","8","1"
"1072","捷運丹鳳站(1號出口)","24","0","新莊區","20240523190928","25.029032","121.422799","中正路/民安路","Xinzhuang Dist.","MRT Danfeng Sta. (Exit 1)","Zhongzheng Rd./Min’an Rd","23","1"
"1074","中港國小","20","2","新莊區","20240523190945","25.045673","121.44780","中和街70號對面","Xinzhuang Dist.","Zhonggang Elementary School","No.70, Zhonghe St. (opposite)","18","1"
